name,price,color,mileage,brand,model,location,date_displayed,transmission,air_conditioner,power_steering,remote_control,item_url,year,log_price,car_age,km_per_year,search_text
Kia Sportage 2024,2800000.0,Dark grey,300.0,Kia,Sportage,Tagamo3 - New Cairo,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6258710,2024.0,14.845130332288226,2.0,150.0,brand Kia model Sportage name Kia Sportage 2024 location Tagamo3 - New Cairo color Dark grey transmission Automatic
Fiat Tipo 2021,1200000.0,Petroleum,131000.0,Fiat,Tipo,Kafr el-Dawwar,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6286701,2021.0,13.997832948091215,5.0,26200.0,brand Fiat model Tipo name Fiat Tipo 2021 location Kafr el-Dawwar color Petroleum transmission Automatic
Hyundai Tucson Turbo GDI 2021,2050000.0,Black,125000.0,Hyundai,Tucson Turbo GDI,Nasr city,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6286695,2021.0,14.53335083891935,5.0,25000.0,brand Hyundai model Tucson Turbo GDI name Hyundai Tucson Turbo GDI 2021 location Nasr city color Black transmission Automatic
BMW X1 2018,2050000.0,Gray,84000.0,BMW,X1,Cairo,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/x1/6254123,2018.0,14.53335083891935,8.0,10500.0,brand BMW model X1 name BMW X1 2018 location Cairo color Gray transmission Automatic
Chevrolet Optra 2021,700000.0,Blue,75000.0,Chevrolet,Optra,Obour City,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286679,2021.0,13.45883704259595,5.0,15000.0,brand Chevrolet model Optra name Chevrolet Optra 2021 location Obour City color Blue transmission Automatic
Chery Arrizo 5 2021,700000.0,Silver,25000.0,Chery,Arrizo 5,Obour City,2024-02-16,Manual,No,No,No,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6286673,2021.0,13.45883704259595,5.0,5000.0,brand Chery model Arrizo 5 name Chery Arrizo 5 2021 location Obour City color Silver transmission Manual
Kia Sportage 2022,1950000.0,Blue,33000.0,Kia,Sportage,Giza,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6262769,2022.0,14.48334044336031,4.0,8250.0,brand Kia model Sportage name Kia Sportage 2022 location Giza color Blue transmission Automatic
Hyundai Verna 2014,400000.0,Black,238000.0,Hyundai,Verna,Faiyum,2024-02-16,Manual,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286602,2014.0,12.899222326086994,12.0,19833.333333333332,brand Hyundai model Verna name Hyundai Verna 2014 location Faiyum color Black transmission Manual
Ford Focus 2018,870000.0,Brown,99000.0,Ford,Focus,El Haram,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/focus/6286581,2018.0,13.676249640055394,8.0,12375.0,brand Ford model Focus name Ford Focus 2018 location El Haram color Brown transmission Automatic
Nissan Tiida 2011,575000.0,Silver,262000.0,Nissan,Tiida,Maadi,2024-02-16,Manual,No,No,No,https://eg.hatla2ee.com/en/car/nissan/tiida/6286779,2011.0,13.26212705890841,15.0,17466.666666666668,brand Nissan model Tiida name Nissan Tiida 2011 location Maadi color Silver transmission Manual
Mitsubishi Lancer Puma 2014,640000.0,Silver,180000.0,Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,2024-02-16,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286767,2014.0,13.369225017834633,12.0,15000.0,brand Mitsubishi model Lancer Puma name Mitsubishi Lancer Puma 2014 location Tagamo3 - New Cairo color Silver transmission Automatic
Opel Grandland 2022,1900000.0,Black,98000.0,Opel,Grandland,Nasr city,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6280913,2022.0,14.45736497045232,4.0,24500.0,brand Opel model Grandland name Opel Grandland 2022 location Nasr city color Black transmission Automatic
Nissan Sunny 2022,830000.0,Red,67000.0,Nissan,Sunny,Alexandria,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6283629,2022.0,13.629182184591333,4.0,16750.0,brand Nissan model Sunny name Nissan Sunny 2022 location Alexandria color Red transmission Automatic
Fiat Uno 2001,150000.0,White,180000.0,Fiat,Uno,Alexandria,2024-02-16,Manual,No,No,No,https://eg.hatla2ee.com/en/car/fiat/uno/6286515,2001.0,11.918397239722838,25.0,7200.0,brand Fiat model Uno name Fiat Uno 2001 location Alexandria color White transmission Manual
Kia Spectra 2002,325000.0,Gray,253000.0,Kia,Spectra,Al Shorouk,2024-02-16,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/kia/spectra/6286758,2002.0,12.691583538230217,24.0,10541.666666666666,brand Kia model Spectra name Kia Spectra 2002 location Al Shorouk color Gray transmission Automatic
Toyota Corolla 2008,650000.0,Black,199000.0,Toyota,Corolla,Alexandria,2024-02-16,Manual,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286755,2008.0,13.384729180332174,18.0,11055.555555555555,brand Toyota model Corolla name Toyota Corolla 2008 location Alexandria color Black transmission Manual
Jac J3 2021,900000.0,White,240000.0,Jac,J3,6 October,2024-02-16,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/jac/j3/6286737,2021.0,13.710151153416941,5.0,48000.0,brand Jac model J3 name Jac J3 2021 location 6 October color White transmission Automatic
Skoda Kodiaq 2023,3000000.0,Dark grey,,Skoda,Kodiaq,Tagamo3 - New Cairo,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/kodiaq/6286718,2023.0,14.914123179965662,3.0,,brand Skoda model Kodiaq name Skoda Kodiaq 2023 location Tagamo3 - New Cairo color Dark grey transmission Automatic
MG 5 2022,1170000.0,Black,48000.0,MG,5,Kafr el-Dawwar,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712,2022.0,13.972515161474428,4.0,12000.0,brand MG model 5 name MG 5 2022 location Kafr el-Dawwar color Black transmission Automatic
Hyundai Verna 2010,285000.0,White,175000.0,Hyundai,Verna,Alexandria,2024-02-16,Manual,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706,2010.0,12.560247968016562,16.0,10937.5,brand Hyundai model Verna name Hyundai Verna 2010 location Alexandria color White transmission Manual
Toyota Corolla 2021,1500000.0,Black,82500.0,Toyota,Corolla,Cairo,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740,2021.0,14.220976332738882,5.0,16500.0,brand Toyota model Corolla name Toyota Corolla 2021 location Cairo color Black transmission Automatic
Nissan Sunny 2022,650000.0,White,150000.0,Nissan,Sunny,Alexandria,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692,2022.0,13.384729180332174,4.0,37500.0,brand Nissan model Sunny name Nissan Sunny 2022 location Alexandria color White transmission Automatic
Chevrolet Optra 2022,90000.0,Red,85000.0,Chevrolet,Optra,Giza,2024-02-16,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685,2022.0,11.407576060361786,4.0,21250.0,brand Chevrolet model Optra name Chevrolet Optra 2022 location Giza color Red transmission Automatic
Skoda Octavia A4 2003,430000.0,Black,200000.0,Skoda,Octavia A4,Alexandria,2024-02-16,Automatic,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731,2003.0,12.971542813248437,23.0,8695.652173913044,brand Skoda model Octavia A4 name Skoda Octavia A4 2003 location Alexandria color Black transmission Automatic
Daewoo Nubira 2 2004,280000.0,Dark blue,198000.0,Daewoo,Nubira 2,Giza,2024-02-16,Automatic,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6274769,2004.0,12.54254845357358,22.0,9000.0,brand Daewoo model Nubira 2 name Daewoo Nubira 2 2004 location Giza color Dark blue transmission Automatic
